expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
zal/zouden waarschijnlijk,weak necessity,teleological,?,positive,no,zal/zouden waarschijnlijk,
zal/zouden waarschijnlijk,weak,teleological,?,positive,no,zal/zouden waarschijnlijk,
zal/zouden waarschijnlijk,strong,circumstantial,?,positive,no,zal/zouden waarschijnlijk,
zal/zouden waarschijnlijk,weak,circumstantial,?,positive,no,zal/zouden waarschijnlijk,
zal/zouden waarschijnlijk,strong,bouletic,?,positive,no,zal/zouden waarschijnlijk,
moet/moten eigenlijk,strong,epistemic,?,positive,no,moet/moten eigenlijk,
moet/moten eigenlijk,weak necessity,epistemic,?,positive,no,moet/moten eigenlijk,
moet/moten eigenlijk,weak,epistemic,?,positive,no,moet/moten eigenlijk,
moet/moten eigenlijk,strong,deontic,?,positive,no,moet/moten eigenlijk,
moet/moten eigenlijk,weak necessity,deontic,1,positive,no,moet/moten eigenlijk,
moet/moten eigenlijk,weak,deontic,?,positive,no,moet/moten eigenlijk,
moet/moten eigenlijk,strong,teleological,?,positive,no,moet/moten eigenlijk,
moet/moten eigenlijk,weak necessity,teleological,?,positive,no,moet/moten eigenlijk,
moet/moten eigenlijk,weak,teleological,?,positive,no,moet/moten eigenlijk,
moet/moten eigenlijk,strong,circumstantial,?,positive,no,moet/moten eigenlijk,
moet/moten eigenlijk,weak,circumstantial,?,positive,no,moet/moten eigenlijk,
moet/moten eigenlijk,strong,bouletic,?,positive,no,moet/moten eigenlijk,
misschien,strong,epistemic,?,positive,no,misschien,
misschien,weak necessity,epistemic,?,positive,no,misschien,
misschien,weak,epistemic,1,positive,no,misschien,
misschien,strong,deontic,?,positive,no,misschien,
misschien,weak necessity,deontic,?,positive,no,misschien,
misschien,weak,deontic,?,positive,no,misschien,
misschien,strong,teleological,?,positive,no,misschien,
misschien,weak necessity,teleological,?,positive,no,misschien,
misschien,weak,teleological,?,positive,no,misschien,
misschien,strong,circumstantial,?,positive,no,misschien,
misschien,weak,circumstantial,?,positive,no,misschien,
misschien,strong,bouletic,?,positive,no,misschien,
misschien,strong,epistemic,1,negative,yes,misschien niet,
misschien,weak necessity,epistemic,?,negative,yes,misschien niet,
misschien,weak,epistemic,?,negative,yes,misschien niet,
misschien,strong,deontic,?,negative,yes,misschien niet,
misschien,weak necessity,deontic,?,negative,yes,misschien niet,
misschien,weak,deontic,?,negative,yes,misschien niet,
misschien,strong,teleological,?,negative,yes,misschien niet,
misschien,weak necessity,teleological,?,negative,yes,misschien niet,
misschien,weak,teleological,?,negative,yes,misschien niet,
misschien,strong,circumstantial,?,negative,yes,misschien niet,
misschien,weak,circumstantial,?,negative,yes,misschien niet,
misschien,strong,bouletic,?,negative,yes,misschien niet,
mag/mogen,strong,epistemic,?,positive,no,mag/mogen,
mag/mogen,weak necessity,epistemic,?,positive,no,mag/mogen,
mag/mogen,weak,epistemic,?,positive,no,mag/mogen,
mag/mogen,strong,deontic,?,positive,no,mag/mogen,
mag/mogen,weak necessity,deontic,?,positive,no,mag/mogen,
mag/mogen,weak,deontic,1,positive,no,mag/mogen,
mag/mogen,strong,teleological,?,positive,no,mag/mogen,
mag/mogen,weak necessity,teleological,?,positive,no,mag/mogen,
mag/mogen,weak,teleological,?,positive,no,mag/mogen,
mag/mogen,strong,circumstantial,?,positive,no,mag/mogen,
mag/mogen,weak,circumstantial,?,positive,no,mag/mogen,
mag/mogen,strong,bouletic,?,positive,no,mag/mogen,
mag/mogen,strong,epistemic,?,negative,yes,mag/mogen ... niet,
mag/mogen,weak necessity,epistemic,?,negative,yes,mag/mogen ... niet,
mag/mogen,weak,epistemic,?,negative,yes,mag/mogen ... niet,
mag/mogen,strong,deontic,?,negative,yes,mag/mogen ... niet,
mag/mogen,weak necessity,deontic,?,negative,yes,mag/mogen ... niet,
mag/mogen,weak,deontic,1,negative,yes,mag/mogen ... niet,
mag/mogen,strong,teleological,?,negative,yes,mag/mogen ... niet,
mag/mogen,weak necessity,teleological,?,negative,yes,mag/mogen ... niet,
mag/mogen,weak,teleological,?,negative,yes,mag/mogen ... niet,
mag/mogen,strong,circumstantial,?,negative,yes,mag/mogen ... niet,
mag/mogen,weak,circumstantial,?,negative,yes,mag/mogen ... niet,
mag/mogen,strong,bouletic,?,negative,yes,mag/mogen ... niet,
hoeft,strong,epistemic,?,negative,yes,hoeft ... niet,hoeft is a singular form
hoeft,weak necessity,epistemic,?,negative,yes,hoeft ... niet,
hoeft,weak,epistemic,?,negative,yes,hoeft ... niet,
hoeft,strong,deontic,?,negative,yes,hoeft ... niet,
hoeft,weak necessity,deontic,?,negative,yes,hoeft ... niet,
hoeft,weak,deontic,?,negative,yes,hoeft ... niet,
hoeft,strong,teleological,1,negative,yes,hoeft ... niet,
hoeft,weak necessity,teleological,?,negative,yes,hoeft ... niet,
hoeft,weak,teleological,?,negative,yes,hoeft ... niet,
hoeft,strong,circumstantial,1,negative,yes,hoeft ... niet,
hoeft,weak,circumstantial,?,negative,yes,hoeft ... niet,
hoeft,strong,bouletic,?,negative,yes,hoeft ... niet,
wellicht,strong,epistemic,1,negative,yes,wellicht ... nite,
wellicht,weak necessity,epistemic,?,negative,yes,wellicht ... nite,
wellicht,weak,epistemic,?,negative,yes,wellicht ... nite,
wellicht,strong,deontic,?,negative,yes,wellicht ... nite,
wellicht,weak necessity,deontic,?,negative,yes,wellicht ... nite,
wellicht,weak,deontic,?,negative,yes,wellicht ... nite,
wellicht,strong,teleological,?,negative,yes,wellicht ... nite,
wellicht,weak necessity,teleological,?,negative,yes,wellicht ... nite,
wellicht,weak,teleological,?,negative,yes,wellicht ... nite,
wellicht,strong,circumstantial,?,negative,yes,wellicht ... nite,
wellicht,weak,circumstantial,?,negative,yes,wellicht ... nite,
wellicht,strong,bouletic,?,negative,yes,wellicht ... nite,
