expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
lẽ,weak,circumstantial,?,positive,no,có lẽ,
lẽ,strong,bouletic,?,positive,no,có lẽ,
thể,strong,epistemic,?,positive,no,có thể,see row 26 note
thể,weak necessity,epistemic,?,positive,no,có thể,
thể,weak,epistemic,1,positive,no,có thể,
thể,strong,deontic,?,positive,no,có thể,
thể,weak necessity,deontic,?,positive,no,có thể,
thể,weak,deontic,1,positive,no,có thể,
thể,strong,teleological,?,positive,no,có thể,
thể,weak necessity,teleological,?,positive,no,có thể,
thể,weak,teleological,1,positive,no,có thể,
thể,strong,circumstantial,?,positive,no,có thể,
thể,weak,circumstantial,1,positive,no,có thể,
thể,strong,bouletic,?,positive,no,có thể,
thể,strong,epistemic,?,negative,above,NEG + thể,
thể,weak necessity,epistemic,?,negative,above,NEG + thể,
thể,weak,epistemic,?,negative,above,NEG + thể,
thể,strong,deontic,?,negative,above,NEG + thể,
thể,weak necessity,deontic,?,negative,above,NEG + thể,
thể,weak,deontic,1,negative,above,NEG + thể,
thể,strong,teleological,?,negative,above,NEG + thể,
thể,weak necessity,teleological,?,negative,above,NEG + thể,
thể,weak,teleological,1,negative,above,NEG + thể,
thể,strong,circumstantial,?,negative,above,NEG + thể,
thể,weak,circumstantial,1,negative,above,NEG + thể,
thể,strong,bouletic,?,negative,above,NEG + thể,
phải,strong,epistemic,?,positive,no,phải,
phải,weak necessity,epistemic,?,positive,no,phải,
phải,weak,epistemic,?,positive,no,phải,
phải,strong,deontic,1,positive,no,phải,
phải,weak necessity,deontic,?,positive,no,phải,
phải,weak,deontic,?,positive,no,phải,
phải,strong,teleological,?,positive,no,phải,
phải,weak necessity,teleological,?,positive,no,phải,
phải,weak,teleological,?,positive,no,phải,
phải,strong,circumstantial,?,positive,no,phải,
phải,weak,circumstantial,?,positive,no,phải,
phải,strong,bouletic,?,positive,no,phải,
phải,strong,epistemic,?,negative,above,NEG + phải,
phải,weak necessity,epistemic,?,negative,above,NEG + phải,
phải,weak,epistemic,?,negative,above,NEG + phải,
phải,strong,deontic,1,negative,above,NEG + phải,
phải,weak necessity,deontic,?,negative,above,NEG + phải,
phải,weak,deontic,?,negative,above,NEG + phải,
phải,strong,teleological,?,negative,above,NEG + phải,
phải,weak necessity,teleological,?,negative,above,NEG + phải,
phải,weak,teleological,?,negative,above,NEG + phải,
phải,strong,circumstantial,?,negative,above,NEG + phải,
phải,weak,circumstantial,?,negative,above,NEG + phải,
phải,strong,bouletic,?,negative,above,NEG + phải,
cần phải,strong,epistemic,?,positive,no,cần phải,"compound of cần (""need"") + phải (""must""). Bare cần only takes nominal arguments;  cần phải is for non-nominal arguments"
cần phải,weak necessity,epistemic,?,positive,no,cần phải,
cần phải,weak,epistemic,?,positive,no,cần phải,
cần phải,strong,deontic,0,positive,no,cần phải,
cần phải,weak necessity,deontic,?,positive,no,cần phải,
cần phải,weak,deontic,?,positive,no,cần phải,
cần phải,strong,teleological,1,positive,no,cần phải,
cần phải,weak necessity,teleological,0,positive,no,cần phải,
cần phải,weak,teleological,?,positive,no,cần phải,
cần phải,strong,circumstantial,1,positive,no,cần phải,
cần phải,weak,circumstantial,?,positive,no,cần phải,
cần phải,strong,bouletic,1,positive,no,cần phải,
cần phải,strong,epistemic,?,negative,above,NEG + cần phải,
cần phải,weak necessity,epistemic,?,negative,above,NEG + cần phải,
cần phải,weak,epistemic,?,negative,above,NEG + cần phải,
cần phải,strong,deontic,?,negative,above,NEG + cần phải,
cần phải,weak necessity,deontic,?,negative,above,NEG + cần phải,
cần phải,weak,deontic,?,negative,above,NEG + cần phải,
cần phải,strong,teleological,1,negative,above,NEG + cần phải,
cần phải,weak necessity,teleological,?,negative,above,NEG + cần phải,
cần phải,weak,teleological,?,negative,above,NEG + cần phải,
cần phải,strong,circumstantial,?,negative,above,NEG + cần phải,
cần phải,weak,circumstantial,?,negative,above,NEG + cần phải,
cần phải,strong,bouletic,?,negative,above,NEG + cần phải,
nên,strong,epistemic,?,positive,no,nên,
nên,weak necessity,epistemic,?,positive,no,nên,
nên,weak,epistemic,?,positive,no,nên,
nên,strong,deontic,0,positive,no,nên,
nên,weak necessity,deontic,1,positive,no,nên,
nên,weak,deontic,?,positive,no,nên,
nên,strong,teleological,?,positive,no,nên,
nên,weak necessity,teleological,?,positive,no,nên,
nên,weak,teleological,?,positive,no,nên,
nên,strong,circumstantial,?,positive,no,nên,
nên,weak,circumstantial,?,positive,no,nên,
nên,strong,bouletic,?,positive,no,nên,
được1,strong,epistemic,?,positive,no,được1,"preverbal, optionally occurring as được phép (""MOD + allowed"") to make permission explicit"
được1,weak necessity,epistemic,?,positive,no,được1,
được1,weak,epistemic,?,positive,no,được1,
được1,strong,deontic,?,positive,no,được1,
được1,weak necessity,deontic,?,positive,no,được1,
được1,weak,deontic,1,positive,no,được1,
được1,strong,teleological,?,positive,no,được1,
được1,weak necessity,teleological,?,positive,no,được1,
được1,weak,teleological,?,positive,no,được1,
được1,strong,circumstantial,?,positive,no,được1,
được1,weak,circumstantial,?,positive,no,được1,
được1,strong,bouletic,?,positive,no,được1,
được2,strong,epistemic,?,positive,no,được2,"isolated, mono-lexical, postverbal or clause-final"
được2,weak necessity,epistemic,?,positive,no,được2,
được2,weak,epistemic,?,positive,no,được2,
được2,strong,deontic,?,positive,no,được2,
được2,weak necessity,deontic,?,positive,no,được2,
được2,weak,deontic,?,positive,no,được2,
được2,strong,teleological,?,positive,no,được2,
được2,weak necessity,teleological,?,positive,no,được2,
được2,weak,teleological,?,positive,no,được2,
được2,strong,circumstantial,?,positive,no,được2,
được2,weak,circumstantial,?,positive,no,được2,
được2,strong,bouletic,?,positive,no,được2,
được1,strong,epistemic,?,negative,above,NEG + được1,see note in row 74
được1,weak necessity,epistemic,?,negative,above,NEG + được1,
được1,weak,epistemic,?,negative,above,NEG + được1,
được1,strong,deontic,?,negative,above,NEG + được1,
được1,weak necessity,deontic,?,negative,above,NEG + được1,
được1,weak,deontic,1,negative,above,NEG + được1,
được1,strong,teleological,?,negative,above,NEG + được1,
được1,weak necessity,teleological,?,negative,above,NEG + được1,
được1,weak,teleological,?,negative,above,NEG + được1,
được1,strong,circumstantial,?,negative,above,NEG + được1,
được1,weak,circumstantial,?,negative,above,NEG + được1,
được1,strong,bouletic,?,negative,above,NEG + được1,
được2,strong,epistemic,?,negative,above,NEG + được2,
được2,weak necessity,epistemic,?,negative,above,NEG + được2,
được2,weak,epistemic,?,negative,above,NEG + được2,
được2,strong,deontic,?,negative,above,NEG + được2,
được2,weak necessity,deontic,?,negative,above,NEG + được2,
được2,weak,deontic,?,negative,above,NEG + được2,
được2,strong,teleological,?,negative,above,NEG + được2,
được2,weak necessity,teleological,?,negative,above,NEG + được2,
được2,weak,teleological,?,negative,above,NEG + được2,
được2,strong,circumstantial,?,negative,above,NEG + được2,
được2,weak,circumstantial,1,negative,above,NEG + được2,
được2,strong,bouletic,?,negative,above,NEG + được2,
có thể + negated clause,strong,epistemic,1,negative,below,có thể + negated clause,"existential is obligatory, negation scopes over matrix clause but not modal"
có thể + negated clause,weak necessity,epistemic,?,negative,below,có thể + negated clause,
có thể + negated clause,weak,epistemic,?,negative,below,có thể + negated clause,
có thể + negated clause,strong,deontic,?,negative,below,có thể + negated clause,
có thể + negated clause,weak necessity,deontic,?,negative,below,có thể + negated clause,
có thể + negated clause,weak,deontic,?,negative,below,có thể + negated clause,
có thể + negated clause,strong,teleological,?,negative,below,có thể + negated clause,
có thể + negated clause,weak necessity,teleological,?,negative,below,có thể + negated clause,
có thể + negated clause,weak,teleological,?,negative,below,có thể + negated clause,
có thể + negated clause,strong,circumstantial,?,negative,below,có thể + negated clause,
có thể + negated clause,weak,circumstantial,?,negative,below,có thể + negated clause,
có thể + negated clause,strong,bouletic,?,negative,below,có thể + negated clause,
chắc chắn + negated clause,strong,epistemic,?,negative,below,chắc chắn + negated clause,negation scopes over matrix clause but not modal
chắc chắn + negated clause,weak necessity,epistemic,?,negative,below,chắc chắn + negated clause,
chắc chắn + negated clause,weak,epistemic,1,negative,below,chắc chắn + negated clause,
chắc chắn + negated clause,strong,deontic,?,negative,below,chắc chắn + negated clause,
chắc chắn + negated clause,weak necessity,deontic,?,negative,below,chắc chắn + negated clause,
chắc chắn + negated clause,weak,deontic,?,negative,below,chắc chắn + negated clause,
chắc chắn + negated clause,strong,teleological,?,negative,below,chắc chắn + negated clause,
chắc chắn + negated clause,weak necessity,teleological,?,negative,below,chắc chắn + negated clause,
chắc chắn + negated clause,weak,teleological,?,negative,below,chắc chắn + negated clause,
chắc chắn + negated clause,strong,circumstantial,?,negative,below,chắc chắn + negated clause,
chắc chắn + negated clause,weak,circumstantial,?,negative,below,chắc chắn + negated clause,
chắc chắn + negated clause,strong,bouletic,?,negative,below,chắc chắn + negated clause,
